,acronym,name,color_hex_triplet,graph_order,id,structure_id_path
34,DGmb,Dentate gyrus medial blade,7ED04B,486,799,/997/8/567/688/695/1089/1080/726/799/
35,SPFp,"Subparafascicular nucleus, parvicellular part",FF8084,654,422,/997/8/343/1129/549/864/406/422/
36,MOBipl,"Main olfactory bulb, inner plexiform layer",9AD2BD,383,228,/997/8/567/688/695/698/507/228/
37,CA3so,"Field CA3, stratum oriens",7ED04B,470,486,/997/8/567/688/695/1089/1080/375/463/486/
38,MMp,"Medial mammillary nucleus, posterior part",FF4C3E,768,606826655,/997/8/343/1129/1097/467/331/491/606826655/
39,CA3slu,"Field CA3, stratum lucidum",7ED04B,469,479,/997/8/567/688/695/1089/1080/375/463/479/
40,AV,Anteroventral nucleus of thalamus,FF909F,675,255,/997/8/343/1129/549/856/239/255/
41,sctv,ventral spinocerebellar tract,CCCCCC,1178,866,/997/1009/960/752/326/866/
42,SSp-m1,"Primary somatosensory area, mouth, layer 1",188064,73,878,/997/8/567/688/695/315/453/322/345/878/
43,cbp,cerebellar peduncles,CCCCCC,1173,752,/997/1009/960/752/
44,MOBmi,"Main olfactory bulb, mitral layer",82C7AE,384,236,/997/8/567/688/695/698/507/236/
45,IGL,Intergeniculate leaflet of the lateral geniculate complex,FF909F,705,27,/997/8/343/1129/549/856/1014/27/
46,FRP,"Frontal pole, cerebral cortex",268F45,6,184,/997/8/567/688/695/315/184/
47,DGlb-po,"Dentate gyrus lateral blade, polymorph layer",7ED04B,484,782,/997/8/567/688/695/1089/1080/726/766/782/
48,LA,Lateral amygdalar nucleus,90EB8D,561,131,/997/8/567/688/703/131/
49,RSPd2/3,"Retrosplenial area, dorsal part, layer 2/3",1AA698,327,434,/997/8/567/688/695/315/254/879/434/
50,SSs4,"Supplemental somatosensory area, layer 4",188064,103,1035,/997/8/567/688/695/315/453/378/1035/
51,SSp-bfd4,"Primary somatosensory area, barrel field, layer 4",188064,54,1047,/997/8/567/688/695/315/453/322/329/1047/
52,MH,Medial habenula,FF909F,712,483,/997/8/343/1129/549/856/958/483/
53,ORBvl6b,"Orbital area, ventrolateral part, layer 6b",248A5E,277,680,/997/8/567/688/695/315/714/746/680/
54,SCiw,"Superior colliculus, motor related, intermediate white layer",FF90FF,833,17,/997/8/343/313/323/294/17/
55,PERI6b,"Perirhinal area, layer 6b",0E9684,372,368,/997/8/567/688/695/315/922/368/
56,OP,Olivary pretectal nucleus,FF90FF,848,706,/997/8/343/313/323/1100/706/
57,pyd,pyramidal decussation,CCCCCC,1208,198,/997/1009/983/784/198/
58,VISC,Visceral area,11AD83,114,677,/997/8/567/688/695/315/677/
59,ORB,Orbital area,248A5E,252,714,/997/8/567/688/695/315/714/
60,nst,nigrostriatal tract,CCCCCC,1221,102,/997/1009/1000/760/102/
61,AUDpo1,"Posterior auditory area, layer 1",019399,144,696,/997/8/567/688/695/315/247/1027/696/
62,VISp2/3,"Primary visual area, layer 2/3",08858C,187,821,/997/8/567/688/695/315/669/385/821/
63,DMHp,"Dorsomedial nucleus of the hypothalamus, posterior part",FF5547,741,676,/997/8/343/1129/1097/141/830/676/
64,MOp1,"Primary motor area, Layer 1",1F9D5A,19,320,/997/8/567/688/695/315/500/985/320/
65,PBlv,"Parabrachial nucleus, lateral division, ventral lateral part",FFAE6F,897,891,/997/8/343/1065/771/1132/867/881/891/
66,DMH,Dorsomedial nucleus of the hypothalamus,FF5547,739,830,/997/8/343/1129/1097/141/830/
67,st,stria terminalis,CCCCCC,1259,301,/997/1009/991/768/301/
68,AT,Anterior tegmental nucleus,FF90FF,860,231,/997/8/343/313/323/231/
69,VISp5,"Primary visual area, layer 5",08858C,189,778,/997/8/567/688/695/315/669/385/778/
70,PST,Preparasubthalamic nucleus,F2483B,796,356,/997/8/343/1129/1097/290/356/
71,ENTm2a,"Entorhinal area, medial part, dorsal zone, layer 2a",32B825,510,468,/997/8/567/688/695/1089/822/909/926/468/
72,BSTov,"Bed nuclei of the stria terminalis, anterior division, oval nucleus",B3C0DF,629,554,/997/8/567/623/803/809/351/359/554/
73,MDm,"Mediodorsal nucleus of the thalamus, medial part",FF909F,688,636,/997/8/343/1129/549/856/444/362/636/
74,BSTv,"Bed nuclei of the stria terminalis, anterior division, ventral nucleus",B3C0DF,631,529,/997/8/567/623/803/809/351/359/529/
75,DECmo,"Declive (VI), molecular layer",FFFC91,1047,10725,/997/8/512/528/645/936/10725/
76,P5,Peritrigeminal zone,FFBA86,920,549009215,/997/8/343/1065/771/987/549009215/
77,fp,"corpus callosum, posterior forceps",CCCCCC,1196,971,/997/1009/983/776/971/
78,fxpo,postcommissural fornix,CCCCCC,1250,737,/997/1009/991/768/1099/737/
79,VTN,Ventral tegmental nucleus,FF90FF,859,757,/997/8/343/313/323/757/
80,hf,hippocampal fissure,AAAAAA,1307,1063,/997/1024/1032/1063/
81,lfbs,lateral forebrain bundle system,CCCCCC,1190,983,/997/1009/983/
82,V,Motor nucleus of trigeminal,FFBA86,919,621,/997/8/343/1065/771/987/621/
83,MOBgr,"Main olfactory bulb, granule layer",82C7AE,382,220,/997/8/567/688/695/698/507/220/
84,IC,Inferior colliculus,FF7AFF,812,4,/997/8/343/313/339/4/
85,IPDL,"Interpeduncular nucleus, dorsolateral",FFA6FF,877,607344858,/997/8/343/313/348/165/100/607344858/
86,MBsen,"Midbrain, sensory related",FF7AFF,807,339,/997/8/343/313/339/
87,aolt,accessory olfactory tract,CCCCCC,1110,459,/997/1009/967/840/21/459/
88,FRP1,"Frontal pole, layer 1",268F45,7,68,/997/8/567/688/695/315/184/68/
89,IB,Interbrain,FF7080,640,1129,/997/8/343/1129/
90,AUDd2/3,"Dorsal auditory area, layer 2/3",019399,124,600,/997/8/567/688/695/315/247/1011/600/
91,SNc,"Substantia nigra, compact part",FFA6FF,866,374,/997/8/343/313/348/374/
92,lotd,dorsal limb,CCCCCC,1109,538,/997/1009/967/840/21/538/
93,AVP,Anteroventral preoptic nucleus,FF5547,737,263,/997/8/343/1129/1097/141/263/
94,pmx,premammillary commissure,CCCCCC,1269,166,/997/1009/991/824/166/
95,AIp5,"Agranular insular area, posterior part, layer 5",219866,288,344,/997/8/567/688/695/315/95/111/344/
96,PL5,"Prelimbic area, layer 5",2FA850,242,363,/997/8/567/688/695/315/972/363/
97,RSPagl,"Retrosplenial area, lateral agranular part",1AA698,298,894,/997/8/567/688/695/315/254/894/
98,CA2slm,"Field CA2, stratum lacunosum-moleculare",7ED04B,463,431,/997/8/567/688/695/1089/1080/375/423/431/
99,SPVOcdm,"Spinal nucleus of the trigeminal, oral part, caudal dorsomedial part",FFA5D2,957,77,/997/8/343/1065/354/386/445/77/
100,PMR,Paramedian reticular nucleus,FFB3D9,997,995,/997/8/343/1065/354/370/995/
101,AUDd4,"Dorsal auditory area, layer 4",019399,125,678,/997/8/567/688/695/315/247/1011/678/
102,ORBv,"Orbital area, ventral part",248A5E,271,738,/997/8/567/688/695/315/714/738/
103,PVHf,"Paraventricular hypothalamic nucleus, descending division, forniceal part",FF4C3E,784,447,/997/8/343/1129/1097/467/63/447/
104,CBXpu,"Cerebellar cortex, Purkinje layer",FFFC91,1017,1145,/997/8/512/528/1145/
105,COApm,"Cortical amygdalar area, posterior part, medial zone",61E7B7,438,663,/997/8/567/688/695/698/631/647/663/
106,EW,Edinger-Westphal nucleus,FF90FF,856,975,/997/8/343/313/323/975/
107,PGRNd,"Paragigantocellular reticular nucleus, dorsal part",FFB3D9,991,970,/997/8/343/1065/354/370/938/970/
108,SBPV,Subparaventricular zone,FF5547,751,347,/997/8/343/1129/1097/141/347/
109,GPi,"Globus pallidus, internal segment",8599CC,611,1031,/997/8/567/623/803/818/1031/
110,PR,Perireunensis nucleus,FF909F,690,1077,/997/8/343/1129/549/856/444/1077/
111,HB,Hindbrain,FF9B88,882,1065,/997/8/343/1065/
112,GU1,"Gustatory areas, layer 1",009C75,108,36,/997/8/567/688/695/315/1057/36/
113,PT,Parataenial nucleus,FF909F,693,15,/997/8/343/1129/549/856/571/15/
114,Acs5,Accessory trigeminal nucleus,FFBA86,921,549009219,/997/8/343/1065/771/987/549009219/
115,P-mot,"Pons, motor related",FFBA86,906,987,/997/8/343/1065/771/987/
116,ProSd-m,"Prosubiculum, dorsal part, molecular layer",58BA48,546,484682479,/997/8/567/688/695/1089/822/484682470/484682475/484682479/
117,MRN,Midbrain reticular nucleus,FF90FF,826,128,/997/8/343/313/323/128/
118,PAA2,"Piriform-amygdalar area, pyramidal layer",59DAAB,447,416,/997/8/567/688/695/698/788/416/
119,ACAd5,"Anterior cingulate area, dorsal part, layer 5",40A666,229,1015,/997/8/567/688/695/315/31/39/1015/
120,LZ,Hypothalamic lateral zone,F2483B,793,290,/997/8/343/1129/1097/290/
121,COPY,Copula pyramidis,FFFC91,1084,1033,/997/8/512/528/1073/1033/
122,MBmot,"Midbrain, motor related",FF90FF,821,323,/997/8/343/313/323/
123,von,vomeronasal nerve,CCCCCC,1104,949,/997/1009/967/949/
124,IAD,Interanterodorsal nucleus of the thalamus,FF909F,681,1113,/997/8/343/1129/549/856/239/1113/
125,VISlla1,"Laterolateral anterior visual area, layer 1",019399,130,480149234,/997/8/567/688/695/315/247/1011/480149230/480149234/
126,VISmmp4,"Mediomedial posterior visual area, layer 4",1AA698,314,480149298,/997/8/567/688/695/315/254/894/480149286/480149298/
127,GU5,"Gustatory areas, layer 5",009C75,111,187,/997/8/567/688/695/315/1057/187/
128,VISpor1,"Postrhinal area, layer 1",08858C,214,312782632,/997/8/567/688/695/315/669/312782628/312782632/
129,IPN,Interpeduncular nucleus,FFA6FF,870,100,/997/8/343/313/348/165/100/
130,int,internal capsule,CCCCCC,1201,6,/997/1009/983/784/6/
131,AUDd6a,"Dorsal auditory area, layer 6a",019399,127,156,/997/8/567/688/695/315/247/1011/156/
132,PAR,Parasubiculum,72D569,523,843,/997/8/567/688/695/1089/822/843/
133,CENT2,Lobule II,FFFC91,1025,976,/997/8/512/528/645/920/976/
134,VENT,Ventral group of the dorsal thalamus,FF8084,643,637,/997/8/343/1129/549/864/637/
135,cbc,cerebellar commissure,CCCCCC,1172,744,/997/1009/960/744/
136,MOp6a,"Primary motor area, Layer 6a",1F9D5A,22,844,/997/8/567/688/695/315/500/985/844/
137,VISpm2/3,"posteromedial visual area, layer 2/3",08858C,201,41,/997/8/567/688/695/315/669/533/41/
138,CSm,"Superior central nucleus raphe, medial part",FFC395,927,130,/997/8/343/1065/771/1117/679/130/
139,PFL,Paraflocculus,FFFC91,1088,1041,/997/8/512/528/1073/1041/
140,SUB,Subiculum,4FC244,535,502,/997/8/567/688/695/1089/822/502/
141,FOTUpu,"Folium-tuber vermis (VII), Purkinje layer",FFFC91,1052,10727,/997/8/512/528/645/944/10727/
142,FS,Fundus of striatum,80CDF8,576,998,/997/8/567/623/477/493/998/
143,dc,dorsal column,CCCCCC,1155,514,/997/1009/967/792/932/514/
144,IPI,"Interpeduncular nucleus, intermediate",FFA6FF,875,607344850,/997/8/343/313/348/165/100/607344850/
145,STRv,Striatum ventral region,80CDF8,574,493,/997/8/567/623/477/493/
146,FOTUgr,"Folium-tuber vermis (VII), granular layer",ECE754,1053,10726,/997/8/512/528/645/944/10726/
147,drt,dorsal roots,CCCCCC,1149,792,/997/1009/967/792/
148,AId1,"Agranular insular area, dorsal part, layer 1",219866,280,996,/997/8/567/688/695/315/95/104/996/
149,TH,Thalamus,FF7080,641,549,/997/8/343/1129/549/
150,GENv,"Geniculate group, ventral thalamus",FF909F,704,1014,/997/8/343/1129/549/856/1014/
151,Xi,Xiphoid thalamic nucleus,FF909F,695,560581559,/997/8/343/1129/549/856/571/560581559/
152,PAR1,"Parasubiculum, layer 1",72D569,524,10693,/997/8/567/688/695/1089/822/843/10693/
153,DP5,"Dorsal peduncular area, layer 5",A4DAA4,414,646,/997/8/567/688/695/698/814/646/
154,ORBvl5,"Orbital area, ventrolateral part, layer 5",248A5E,275,1125,/997/8/567/688/695/315/714/746/1125/
155,SIM,Simple lobule,FFFC91,1067,1007,/997/8/512/528/1073/1007/
156,ccg,genu of corpus callosum,CCCCCC,1195,1108,/997/1009/983/776/1108/
157,VISal6a,"Anterolateral visual area, layer 6a",08858C,169,601,/997/8/567/688/695/315/669/402/601/
158,fi,fimbria,CCCCCC,1247,603,/997/1009/991/768/1099/603/
159,ENTl1,"Entorhinal area, lateral part, layer 1",32B825,495,1121,/997/8/567/688/695/1089/822/909/918/1121/
160,DP6a,"Dorsal peduncular area, layer 6a",A4DAA4,415,267,/997/8/567/688/695/698/814/267/
161,COAa2,"Cortical amygdalar area, anterior part, layer 2",61E7B7,429,200,/997/8/567/688/695/698/631/639/200/
162,TEa,Temporal association areas,15B0B3,360,541,/997/8/567/688/695/315/541/
163,ACVII,Accessory facial motor nucleus,FFB3D9,968,576,/997/8/343/1065/354/370/576/
164,I5,Intertrigeminal nucleus,FFBA86,923,549009227,/997/8/343/1065/771/987/549009227/
165,VISpm6b,"posteromedial visual area, layer 6b",08858C,205,469,/997/8/567/688/695/315/669/533/469/
166,IV,Trochlear nucleus,FF90FF,857,115,/997/8/343/313/323/115/
167,BSTdm,"Bed nuclei of the stria terminalis, anterior division, dorsomedial nucleus",B3C0DF,625,505,/997/8/567/623/803/809/351/359/505/
168,supd,"supraoptic commissures, dorsal",CCCCCC,1267,825,/997/1009/991/824/349/825/
169,DG-po,"Dentate gyrus, polymorph layer",7ED04B,475,10704,/997/8/567/688/695/1089/1080/726/10704/
170,AHNd,"Anterior hypothalamic nucleus, dorsal part",FF4C3E,760,716,/997/8/343/1129/1097/467/88/716/
171,cst,corticospinal tract,CCCCCC,1200,784,/997/1009/983/784/
172,MEApd-b,"Medial amygdalar nucleus, posterodorsal part, sublayer b",80C0E2,605,480,/997/8/567/623/477/278/403/426/480/
173,PPYd,"Parapyramidal nucleus, deep part",FFB3D9,999,185,/997/8/343/1065/354/370/1069/185/
174,VISli,Laterointermediate area,08858C,206,312782574,/997/8/567/688/695/315/669/312782574/
175,ORBl,"Orbital area, lateral part",248A5E,258,723,/997/8/567/688/695/315/714/723/
176,mfbc,cerebrum related,CCCCCC,1239,768,/997/1009/991/768/
177,BMAp,"Basomedial amygdalar nucleus, posterior part",84EA81,568,334,/997/8/567/688/703/319/334/
178,PBmv,"Parabrachial nucleus, medial division, ventral medial part",FFAE6F,901,923,/997/8/343/1065/771/1132/867/890/923/
179,cpt,corticopontine tract,CCCCCC,1205,1003,/997/1009/983/784/1003/
180,VISmma,Mediomedial anterior visual area,1AA698,304,480149258,/997/8/567/688/695/315/254/894/480149258/
181,PB,Parabrachial nucleus,FFAE6F,890,867,/997/8/343/1065/771/1132/867/
182,AVPV,Anteroventral periventricular nucleus,FF5547,738,272,/997/8/343/1129/1097/141/272/
183,BS,Brain stem,FF7080,639,343,/997/8/343/
184,hht,hypothalamohypophysial tract,CCCCCC,1170,627,/997/1009/967/871/285/627/
185,PRE2,"Presubiculum, layer 2",59B947,533,10700,/997/8/567/688/695/1089/822/1084/10700/
186,V3,third ventricle,AAAAAA,1299,129,/997/73/129/
187,CEAl,"Central amygdalar nucleus, lateral part",80C0E2,597,551,/997/8/567/623/477/278/536/551/
188,sct,spinocerebellar tract,CCCCCC,1176,85,/997/1009/960/752/326/812/85/
189,NLOT1,"Nucleus of the lateral olfactory tract, molecular layer",95E4C8,423,260,/997/8/567/688/695/698/619/260/
190,PS,Parastrial nucleus,FF5547,747,1109,/997/8/343/1129/1097/141/1109/
191,NDB,Diagonal band nucleus,96A7D3,618,596,/997/8/567/623/803/826/904/596/
192,MPNc,"Medial preoptic nucleus, central part",FF4C3E,777,740,/997/8/343/1129/1097/467/515/740/
193,MEA,Medial amygdalar nucleus,80C0E2,600,403,/997/8/567/623/477/278/403/
194,COApl2,"Cortical amygdalar area, posterior part, lateral zone, layer 2",61E7B7,436,224,/997/8/567/688/695/698/631/647/655/224/
195,PTLp6b,"Posterior parietal association areas, layer 6b",009FAC,345,340,/997/8/567/688/695/315/22/340/
196,SEZ,subependymal zone,AAAAAA,1295,98,/997/73/81/98/
197,AUDp,Primary auditory area,019399,136,1002,/997/8/567/688/695/315/247/1002/
198,AIp6a,"Agranular insular area, posterior part, layer 6a",219866,289,314,/997/8/567/688/695/315/95/111/314/
199,BLA,Basolateral amygdalar nucleus,9DE79C,562,295,/997/8/567/688/703/295/
200,PRNr,Pontine reticular nucleus,FFC395,931,146,/997/8/343/1065/771/1117/146/
201,RPA,Nucleus raphe pallidus,FFC6E2,1012,230,/997/8/343/1065/354/379/230/
202,pc,posterior commissure,CCCCCC,1121,158,/997/1009/967/832/158/
203,ENTm1,"Entorhinal area, medial part, dorsal zone, layer 1",32B825,508,526,/997/8/567/688/695/1089/822/909/926/526/
204,MGv,"Medial geniculate complex, ventral part",FF8084,660,1079,/997/8/343/1129/549/864/1008/475/1079/
205,SUMl,"Supramammillary nucleus, lateral part",FF4C3E,771,1110,/997/8/343/1129/1097/467/331/525/1110/
206,ACA6b,"Anterior cingulate area, layer 6b",40A666,225,227,/997/8/567/688/695/315/31/227/
207,LRNp,"Lateral reticular nucleus, parvicellular part",FFB3D9,983,963,/997/8/343/1065/354/370/235/963/
208,VISlla6b,"Laterolateral anterior visual area, layer 6b",019399,135,480149254,/997/8/567/688/695/315/247/1011/480149230/480149254/
209,OT3,"Olfactory tubercle, polymorph layer",80CDF8,583,473,/997/8/567/623/477/493/754/473/
210,BSTp,"Bed nuclei of the stria terminalis, posterior division",B3C0DF,632,367,/997/8/567/623/803/809/351/367/
211,c,"central canal, spinal cord/medulla",AAAAAA,1303,164,/997/73/164/
212,cbt,corticobulbar tract,CCCCCC,1206,994,/997/1009/983/784/994/
213,PYRpu,"Pyramus (VIII), Purkinje layer",FFFC91,1056,10730,/997/8/512/528/645/951/10730/
214,step,spinotelenchephalic pathway,CCCCCC,1169,285,/997/1009/967/871/285/
215,sop,spino-olivary pathway,CCCCCC,1164,261,/997/1009/967/871/261/
216,RSPagl6b,"Retrosplenial area, lateral agranular part, layer 6b",1AA698,303,279,/997/8/567/688/695/315/254/894/279/
217,sif,simple fissure,AAAAAA,1319,25,/997/1024/1040/25/
218,SF,Septofimbrial nucleus,90CBED,590,310,/997/8/567/623/477/275/310/
219,AON2,"Anterior olfactory nucleus, layer 2",54BF94,397,168,/997/8/567/688/695/698/159/168/
220,sptV,spinal tract of the trigeminal nerve,CCCCCC,1129,794,/997/1009/967/901/229/794/
221,crt,corticorubral tract,CCCCCC,1204,1012,/997/1009/983/784/1012/
222,PIL,Posterior intralaminar thalamic nucleus,FF909F,702,560581563,/997/8/343/1129/549/856/51/560581563/
223,vsp,vestibulospinal pathway,CCCCCC,1237,941,/997/1009/1000/941/
224,VISal5,"Anterolateral visual area, layer 5",08858C,168,233,/997/8/567/688/695/315/669/402/233/
225,TTd4,"Taenia tecta, dorsal part, layer 4",62D09F,404,1059,/997/8/567/688/695/698/589/597/1059/
226,ENTm5,"Entorhinal area, medial part, dorsal zone, layer 5",32B825,514,727,/997/8/567/688/695/1089/822/909/926/727/
227,VISam4,"Anteromedial visual area, layer 4",08858C,174,401,/997/8/567/688/695/315/669/394/401/
228,MDRN,Medullary reticular nucleus,FFB3D9,985,395,/997/8/343/1065/354/370/395/
229,LPO,Lateral preoptic area,F2483B,795,226,/997/8/343/1129/1097/290/226/
230,SSp-tr6b,"Primary somatosensory area, trunk, layer 6b",188064,92,461,/997/8/567/688/695/315/453/322/361/461/
231,MPNl,"Medial preoptic nucleus, lateral part",FF4C3E,778,748,/997/8/343/1129/1097/467/515/748/
232,CM,Central medial nucleus of the thalamus,FF909F,698,599,/997/8/343/1129/549/856/51/599/
233,BMA,Basomedial amygdalar nucleus,84EA81,566,319,/997/8/567/688/703/319/
234,CA2sr,"Field CA2, stratum radiatum",7ED04B,466,454,/997/8/567/688/695/1089/1080/375/423/454/
235,VISli2/3,"Laterointermediate area, layer 2/3",08858C,208,312782582,/997/8/567/688/695/315/669/312782574/312782582/
236,MOs6b,"Secondary motor area, layer 6b",1F9D5A,29,1085,/997/8/567/688/695/315/500/993/1085/
237,IPRL,"Interpeduncular nucleus, rostrolateral",FFA6FF,878,607344862,/997/8/343/313/348/165/100/607344862/
238,SPIV,Spinal vestibular nucleus,FFB3D9,1004,225,/997/8/343/1065/354/370/701/225/
239,VISa6b,"Anterior area, layer 6b",009FAC,352,312782570,/997/8/567/688/695/315/22/312782546/312782570/
240,AId2/3,"Agranular insular area, dorsal part, layer 2/3",219866,281,328,/997/8/567/688/695/315/95/104/328/
241,psf,posterior superior fissure,AAAAAA,1314,1112,/997/1024/1040/1112/
242,COApl1-3,"Cortical amygdalar area, posterior part, lateral zone, layers 1-3",61E7B7,434,376,/997/8/567/688/695/698/631/647/655/376/
243,cpd,cerebal peduncle,CCCCCC,1202,924,/997/1009/983/784/924/
244,AOBgr,"Accessory olfactory bulb, granular layer",95E4C8,388,196,/997/8/567/688/695/698/151/196/
245,VISrl,Rostrolateral visual area,009FAC,353,417,/997/8/567/688/695/315/22/417/
246,SSp-ul6a,"Primary somatosensory area, upper limb, layer 6a",188064,84,945,/997/8/567/688/695/315/453/322/369/945/
247,ECT6a,Ectorhinal area/Layer 6a,0D9F91,377,977,/997/8/567/688/695/315/895/977/
248,PERI5,"Perirhinal area, layer 5",0E9684,370,692,/997/8/567/688/695/315/922/692/
249,TEa2/3,"Temporal association areas, layer 2/3",15B0B3,362,1127,/997/8/567/688/695/315/541/1127/
250,PVHlp,"Paraventricular hypothalamic nucleus, descending division, lateral parvicellular part",FF4C3E,785,455,/997/8/343/1129/1097/467/63/455/
251,LRNm,"Lateral reticular nucleus, magnocellular part",FFB3D9,982,955,/997/8/343/1065/354/370/235/955/
252,SCH,Suprachiasmatic nucleus,FF5547,752,286,/997/8/343/1129/1097/141/286/
253,VIS4,"Visual areas, layer 4",08858C,160,913,/997/8/567/688/695/315/669/913/
254,ORBvl1,"Orbital area, ventrolateral part, layer 1",248A5E,273,969,/997/8/567/688/695/315/714/746/969/
255,grv of CTX,grooves of the cerebral cortex,AAAAAA,1305,1032,/997/1024/1032/
256,PIR1-3,"Piriform area, layers 1-3",6ACBBA,417,152,/997/8/567/688/695/698/961/152/
257,IPF,Interpeduncular fossa,AAAAAA,1325,624,/997/1024/624/
258,AON,Anterior olfactory nucleus,54BF94,390,159,/997/8/567/688/695/698/159/
259,CNspg,"Cochlear nucleus, subpedunclular granular region",FFA5D2,940,560,/997/8/343/1065/354/386/607/560/
260,jrb,juxtarestiform body,CCCCCC,1183,650,/997/1009/960/752/1123/650/
261,och,optic chiasm,CCCCCC,1116,117,/997/1009/967/848/117/
262,VISmmp2/3,"Mediomedial posterior visual area, layer 2/3",1AA698,313,480149294,/997/8/567/688/695/315/254/894/480149286/480149294/
263,FOTU,Folium-tuber vermis (VII),FFFC91,1050,944,/997/8/512/528/645/944/
264,IVF,interventricular foramen,AAAAAA,1298,124,/997/73/124/
265,SSp-ll,"Primary somatosensory area, lower limb",188064,65,337,/997/8/567/688/695/315/453/322/337/
266,SSs6b,"Supplemental somatosensory area, layer 6b",188064,106,893,/997/8/567/688/695/315/453/378/893/
267,AUDp6a,"Primary auditory area, layer 6a",019399,141,954,/997/8/567/688/695/315/247/1002/954/
268,BSTrh,"Bed nuclei of the stria terminalis, anterior division, rhomboid nucleus",B3C0DF,630,562,/997/8/567/623/803/809/351/359/562/
269,PMd,Dorsal premammillary nucleus,FF4C3E,780,980,/997/8/343/1129/1097/467/980/
270,CBX,Cerebellar cortex,F0F080,1015,528,/997/8/512/528/
271,MMm,"Medial mammillary nucleus, medial part",FF4C3E,767,606826651,/997/8/343/1129/1097/467/331/491/606826651/
272,TT,Taenia tecta,62D09F,398,589,/997/8/567/688/695/698/589/
273,VISam1,"Anteromedial visual area, layer 1",08858C,172,281,/997/8/567/688/695/315/669/394/281/
274,MSC,Medial septal complex,96A7D3,616,904,/997/8/567/623/803/826/904/
275,PALv,"Pallidum, ventral region",A2B1D8,612,835,/997/8/567/623/803/835/
276,SCop,"Superior colliculus, optic layer",FF7AFF,809,851,/997/8/343/313/339/302/851/
277,DEC,Declive (VI),FFFC91,1046,936,/997/8/512/528/645/936/
278,y,Nucleus y,FFB3D9,1008,781,/997/8/343/1065/354/370/781/
